Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Computing or Tech,"Environmental Health and Safety, and Emergency Management Lead",,"134,000.00","13,400.00",Potential bonus is up to 10% depending on team performance and individual performance. There is also the opportunity to purchase into the employee stock purchase plan for up to 10% of my salary. My sign-on included 900 stock units vesting over 4 years.,California,San Francisco,8-10 years,8-10 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Communications Analyst,Brand Marketing for Manufacturing Company,"85,000.00","1,000.00",,Oregon,Portland,11-20 years,8-10 years,College degree,Woman,White
55-64,"Marketing, Advertising & PR",Senior Vice President of Engagement,,"140,000.00",0.00,,Illinois,Chicago,31-40 years,21-30 years,Master's degree,Woman,White
35-44,Nonprofits,Department research administrator,,"105,000.00",,,New York,New York,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Scientific R&D,Senior Administrator,,"55,500.00",,,Tennessee,Oak Ridge,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Insurance,Assistant Controller,Title is a little ambitious for the office admin & basic accounting work I actually do. The goal is to move me into the job duties worthy of the title.,"48,000.00","1,100.00",,Oregon,Portland,2-4 years,1 year or less,College degree,Woman,White
18-24,Nonprofits,Program Assistant,,"33,280.00",,,California,Los Angeles,2-4 years,2-4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Health care,Occupational therapist,,"66,650.00","2,500.00",,Missouri,Liberty,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Publishing,Senior editor,Senior editor within a museum's in-house publications department,"86,400.00",0.00,,California,Los Angeles,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),Associate Director of Development,Fundraiser - major gifts officer,"72,000.00",,,Texas,Houston,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Agriculture or Forestry,Zoo Keeper,,"32,320.00",,,Maryland,Baltimore,5-7 years,5-7 years,College degree,Woman,White
45-54,trade association,"Senior Vice President, Diversity Equity & Inclusion",,"195,000.00","25,000.00",,Virginia,Washington,21-30 years,5-7 years,PhD,Woman,White
35-44,Computing or Tech,Senior Software Engineer,,"142,000.00",,,Minnesota,Coon Rapids,11-20 years,11-20 years,College degree,Man,White
45-54,"Accounting, Banking & Finance",Accounting Supervisor,,"76,000.00","7,600.00",,Illinois,Naperville,21-30 years,21-30 years,College degree,Woman,White
25-34,Retail,Associate,,"29,120.00",0.00,,Oregon,Hillsboro,5-7 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Software engineer,,"265,000.00",,,Texas,Austin,8-10 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Cloud Security Advisor,,"134,500.00","6,725.00",,Virginia,Vienna,11-20 years,5-7 years,College degree,Woman,Asian or Asian American
35-44,Computing or Tech,Analytics Manager,Data Analyst III,"120,000.00","20,000.00",,Illinois,Chicago,11-20 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Consultant,,"130,000.00",0.00,,California,San Francisco,11-20 years,11-20 years,Master's degree,Woman,"Black or African American, White"
25-34,"Accounting, Banking & Finance",Brokerage Risk Specialist,,"104,500.00",,,Florida,Orlando,8-10 years,5-7 years,College degree,Woman,Middle Eastern or Northern African
25-34,Social Work,Licensed independent clinical social worker (LICSW),Employed by county,"72,000.00",0.00,,Washington,Seattle,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,White
25-34,Pharmaceuticals,Senior Quality Assurance Representative,,"84,000.00","8,400.00",,Indiana,Indianapolis,11-20 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,HSE Manager,,"82,500.00",0.00,,Ohio,Columbus,11-20 years,8-10 years,Some college,Woman,White
55-64,Nonprofits,Program Director,,"71,350.00",,,Ohio,Cleveland,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Business or Consulting,Executive Assistant,,"87,000.00","1,000.00",,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Social Media Manager,,"40,000.00",0.00,,Indiana,Indianapolis,5-7 years,5-7 years,College degree,Woman,White
25-34,Sales,Administrative Assistant,,"34,320.00",,,Michigan,Clawson,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Recruitment or HR,Senior Manager of Employee Success,"I'm a one person HR shop, we're about to add a recruiter.","85,000.00","6,000.00",,District of Columbia,Washington,8-10 years,2-4 years,Master's degree,Woman,White
45-54,Insurance,Medical Consultant,Physician at disability insurance company,"202,000.00","60,000.00",,Tennessee,Chattanooga,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,Software Dev,,"63,000.00",,,Florida,Jacksonville,21-30 years,2-4 years,College degree,Man,White
25-34,Government and Public Administration,Security Technical Consultant,basically a security engineer for a government agency,"70,000.00",0.00,,Wisconsin,Madison,8-10 years,2-4 years,Some college,Man,White
25-34,"Marketing, Advertising & PR",Social Community Specialist,,"51,000.00",,,North Carolina,Durham,5-7 years,5-7 years,College degree,Woman,White
55-64,Computing or Tech,Engineering Manager,,"170,000.00","30,000.00",Around 80000 in stock,Washington,Seattle,31-40 years,31-40 years,PhD,Man,White
35-44,Insurance,Insurance agent,,"45,000.00",0.00,,North Carolina,Raleigh,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Program Director,,"95,000.00",,,California,San Francisco,8-10 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Insurance,Underwriting supervisor,,"80,000.00","10,000.00",,Oklahoma,Tulsa,11-20 years,11-20 years,Master's degree,Man,White
25-34,Health care,Assistant Operations Manager,,"60,000.00","3,000.00",,Utah,Salt Lake,5-7 years,5-7 years,College degree,Woman,"Middle Eastern or Northern African, White"
35-44,Government and Public Administration,Program Specialist,,"52,000.00",0.00,,Texas,Austin,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Vice President,,"105,000.00",,,Massachusetts,Boston,11-20 years,11-20 years,College degree,Woman,Middle Eastern or Northern African
35-44,"Marketing, Advertising & PR",Senior Media Specialist/Strategist,Most equivalent to Vice President with in public relations agencies,"150,000.00",,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Government and Public Administration,Division Assistant Administrator,I oversee administrative operations and communications for a government agency,"96,000.00",,,Ohio,Columbus,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Hospital,Manager of Library Services,Medical librarian,"77,500.00",,,Massachusetts,Boston,5-7 years,2-4 years,Master's degree,Woman,White
45-54,Education (Primary/Secondary),Administrative coordinator,,"56,971.00",,I work 27 hours a week at $27.39 per hour.,Massachusetts,Newton,21-30 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Business Intelligence Analyst,,"77,000.00",,,New Jersey,Glassboro,5-7 years,5-7 years,College degree,Man,White
25-34,Nonprofits,Outreach Associate,entry to mid level outreach/client management,"64,000.00",,,Illinois,Chicago,8-10 years,8-10 years,College degree,Woman,White
55-64,Computing or Tech,Principal Engineer,,"215,000.00",,,Oregon,Portland,31-40 years,21-30 years,Master's degree,Man,White
35-44,"Accounting, Banking & Finance",Senior Reporting Analyst,,"66,000.00",0.00,,Ohio,Akron,11-20 years,8-10 years,College degree,Woman,White
25-34,Nonprofits,Donor Relations Officer,,"55,000.00",,,Pennsylvania,Philadelphia,2-4 years,2-4 years,College degree,Man,White
35-44,Recruitment or HR,"Vice President, Human Resources",,"145,000.00","10,000.00",,New York,New York,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Nonprofits,Program Coordinator,,"48,000.00",0.00,,New York,New York,2-4 years,2-4 years,College degree,Woman,White
35-44,Translation,Operations (Other),,"75,000.00","5,000.00",,New York,New York,8-10 years,5-7 years,College degree,Other or prefer not to answer,White
25-34,Oil & Gas,Pension Administrator,HR Retirement Plans Administrator,"82,000.00","8,200.00",,Oklahoma,Tulsa,8-10 years,5-7 years,College degree,Woman,White
35-44,Media & Digital,Senior Software Engineer,,"123,600.00",0.00,,Oregon,Portland,11-20 years,5-7 years,College degree,Woman,White
45-54,Government and Public Administration,HR Specialist,,"41,040.00",,,Kentucky,Frankfort,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,Lead Mechanical Engineer,,"185,000.00",0.00,,California,Berkeley,11-20 years,11-20 years,Master's degree,Man,White
45-54,Media & Digital,Vice President Business Development,,"185,000.00","34,000.00",,New York,New York,21-30 years,21-30 years,Some college,Man,Another option not listed here or prefer not to answer
35-44,Health care,Marketing Manager,,"108,000.00",,,"Texas, Virginia",Richmond,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Law,Partner,,"400,000.00",0.00,"Distribution, varies by year",Texas,Austin,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Web Developer,,"74,620.00",,,California,Los Angeles,5-7 years,2-4 years,Some college,Man,"Hispanic, Latino, or Spanish origin, White"
35-44,Education (Higher Education),Faculty,,"66,000.00",,,Washington,Seattle,11-20 years,11-20 years,College degree,Man,White
35-44,Health care,Healthcare rep,Help patients get insurance,"41,600.00",0.00,,Indiana,Ft Wayne,5-7 years,2-4 years,Some college,Woman,White
35-44,"Accounting, Banking & Finance",Cash Posting,,"37,500.00","3,000.00",,Wisconsin,Madison,21-30 years,8-10 years,High School,Woman,White
35-44,Law,Trademark Paralegal Manager,,"100,000.00","5,000.00",,Colorado,Denver,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Principal Business Analyst,Technical Product Manager,"125,000.00","6,000.00",,California,San Francisco,11-20 years,11-20 years,Some college,Man,White
25-34,Government and Public Administration,Desk Clerk,"I work at a library, but am not an official librarian.","20,500.00",0.00,,Illinois,Chicago Area,5-7 years,1 year or less,College degree,Woman,White
25-34,Social Work,Therapist,"I have 2 jobs: 3 days / week at a small group private practice where I make 65% of whatever I bill from clients, an average of 60 / individual therapy hour. 2 days / week large community mental health where I get 35 / individual hour adult client, 38 / individual hour child client. Very complicated!","35,000.00",0.00,"1 job is w-2, one is i-9","Delaware, Pennsylvania",Wilmington,5-7 years,2-4 years,Master's degree,Non-binary,White
45-54,Education (Higher Education),Director,Lead administrative office at a private institution of higher education,"120,000.00",0.00,,Massachusetts,Boston,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,HR Assistant,,"43,000.00",,,Minnesota,Minneapolis,2-4 years,2-4 years,College degree,Non-binary,White
25-34,Engineering or Manufacturing,Systems Engineer,Level 2,"96,000.00",0.00,,California,Mountain View,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Government and Public Administration,Physical Scientist,,"85,500.00",,,Maryland,Gaithersburg,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Retail,E-commerce Specialist,Assistant level,"58,500.00",0.00,,New York,New York,5-7 years,2-4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Experienced Senior Auditor,,"84,000.00",0.00,,California,Los Angeles,8-10 years,2-4 years,College degree,Woman,Asian or Asian American
18-24,Recruitment or HR,Associate Recruiter,,"42,000.00","7,000.00",additional $7000 is in commission,Pennsylvania,Philadelphia,2-4 years,2-4 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Senior Media Manager,Agency side,"77,000.00",,,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,White
35-44,Health care,Organizational Development Consultant,,"99,000.00",,,Oregon,Portland,11-20 years,8-10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Nonprofits,"Director, Development",,"125,000.00",,,New York,New York,11-20 years,11-20 years,College degree,Woman,White
35-44,Health care,Manager Talent Acquisition,,"84,500.00",,,New York,Buffalo,11-20 years,11-20 years,College degree,Woman,White
35-44,Nonprofits,Adminitrative Assistant,,"52,000.00","2,500.00",,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Man,White
35-44,"Marketing, Advertising & PR",Multimedia Content Coordinator,Social media coordinator and marketing writer and editor,"36,316.00","3,684.00",,Washington,Spokane,8-10 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Senior Manufacturing Engineer,,"103,500.00","15,000.00",,Texas,Austin,11-20 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Virtual Executive Assistant,,"58,900.00","2,000.00",,Texas,Dallas,8-10 years,8-10 years,Some college,Woman,White
25-34,Computing or Tech,Senior Business Analyst,,"72,000.00",,,Massachusetts,Ipswich,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,Geospatial Analyst,I make maps for the government,"36,550.00","2,000.00",,Tennessee,Murfreesboro,8-10 years,1 year or less,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Risk Professional,,"90,000.00","7,500.00",,Pennsylvania,Devon,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Academic research,Research Analyst,,"63,500.00",,,Arizona,Tucson,11-20 years,11-20 years,College degree,Man,White
35-44,"Accounting, Banking & Finance",Director of Marketing,,"40,000.00","1,000.00",,Pennsylvania,Pittsburgh,11-20 years,5-7 years,College degree,Woman,White
25-34,Sales,Medical Device Sales Rep,,"50,000.00","200,000.00",Fluctuates from year to year but this is average,California,San Francisco,8-10 years,8-10 years,College degree,Woman,White
